iter	Passed	Remaining
1155	17352	27679
1156	17356	27647
1157	17360	27615
1158	17365	27583
1159	17369	27552
1160	17374	27520
1161	17378	27488
1162	17382	27456
1163	17387	27426
1164	17393	27396
1165	17397	27364
1166	17401	27332
1167	17406	27302
1168	17410	27270
1169	17414	27238
1170	17419	27207
1171	17423	27176
1172	17428	27145
1173	17432	27113
1174	17437	27083
1175	17442	27053
1176	17447	27023
1177	17451	26991
1178	17455	26960
1179	17460	26930
1180	17465	26899
1181	17469	26869
1182	17474	26839
1183	17478	26808
1184	17482	26777
1185	17487	26746
1186	17492	26717
1187	17496	26687
1188	17501	26656
1189	17506	26627
1190	17510	26597
1191	17515	26566
1192	17519	26536
1193	17524	26506
1194	17528	26476
1195	17532	26445
1196	17538	26417
1197	17542	26387
1198	17547	26357
1199	17551	26327
1200	17555	26297
1201	17560	26267
1202	17564	26237
1203	17569	26207
1204	17573	26178
1205	17577	26148
1206	17582	26118
1207	17586	26088
1208	17591	26060
1209	17596	26031
1210	17600	26001
1211	17605	25972
1212	17611	25945
1213	17615	25915
1214	17620	25886
1215	17624	25857
1216	17629	25828
1217	17634	25799
1218	17638	25770
1219	17643	25741
1220	17647	25713
1221	17652	25683
1222	17656	25655
1223	17661	25626
1224	17665	25597
1225	17670	25569
1226	17675	25540
1227	17679	25510
1228	17683	25482
1229	17688	25454
1230	17693	25425
1231	17697	25397
1232	17702	25368
1233	17706	25340
1234	17711	25311
1235	17715	25282
1236	17720	25254
1237	17724	25226
1238	17729	25198
1239	17733	25170
1240	17738	25141
1241	17742	25114
1242	17747	25086
1243	17751	25057
1244	17755	25029
1245	17760	25000
1246	17764	24973
1247	17769	24945
1248	17773	24916
1249	17777	24888
1250	17781	24860
1251	17786	24833
1252	17791	24805
1253	17795	24777
1254	17800	24750
1255	17805	24722
1256	17809	24695
1257	17814	24667
1258	17818	24640
1259	17822	24612
1260	17827	24585
1261	17832	24558
1262	17836	24531
1263	17841	24503
1264	17845	24476
1265	17850	24448
1266	17854	24421
1267	17858	24393
1268	17862	24366
1269	17867	24339
1270	17872	24312
1271	17876	24285
1272	17880	24257
1273	17885	24231
1274	17890	24204
1275	17894	24177
1276	17898	24149
1277	17903	24123
1278	17907	24096
1279	17912	24069
1280	17916	24042
1281	17921	24016
1282	17926	23989
1283	17931	23963
1284	17935	23937
1285	17940	23910
1286	17944	23883
1287	17948	23856
1288	17952	23829
1289	17956	23802
1290	17961	23777
1291	17965	23750
1292	17970	23723
1293	17974	23697
1294	17979	23672
1295	17984	23645
1296	17988	23619
1297	17992	23593
1298	17997	23567
1299	18002	23541
1300	18006	23514
1301	18011	23489
1302	18015	23463
1303	18020	23438
1304	18025	23412
1305	18030	23386
1306	18035	23362
1307	18040	23336
1308	18044	23309
1309	18048	23283
1310	18052	23257
1311	18057	23231
1312	18061	23206
1313	18066	23180
1314	18070	23154
1315	18075	23129
1316	18079	23104
1317	18084	23078
1318	18088	23053
1319	18092	23027
1320	18097	23002
1321	18102	22977
1322	18106	22951
1323	18111	22926
1324	18116	22901
1325	18120	22876
1326	18125	22851
1327	18130	22826
1328	18135	22801
1329	18139	22776
1330	18143	22751
1331	18148	22726
1332	18152	22700
1333	18157	22676
1334	18161	22651
1335	18166	22626
1336	18170	22600
1337	18174	22575
1338	18179	22551
1339	18184	22526
1340	18188	22501
1341	18192	22476
1342	18197	22452
1343	18202	22427
1344	18206	22402
1345	18211	22379
1346	18216	22354
1347	18220	22329
1348	18225	22305
1349	18230	22281
1350	18234	22257
1351	18239	22232
1352	18243	22207
1353	18247	22182
1354	18251	22157
1355	18256	22133
1356	18260	22109
1357	18264	22084
1358	18268	22059
1359	18273	22035
1360	18278	22011
1361	18282	21987
1362	18287	21963
1363	18291	21938
1364	18295	21914
1365	18300	21890
1366	18304	21866
1367	18310	21844
1368	18315	21820
1369	18319	21796
1370	18324	21772
1371	18329	21749
1372	18333	21725
1373	18337	21701
1374	18342	21677
1375	18346	21652
1376	18350	21629
1377	18355	21605
1378	18359	21581
1379	18364	21557
1380	18368	21533
1381	18372	21510
1382	18377	21486
1383	18382	21463
1384	18386	21439
1385	18390	21416
1386	18395	21392
1387	18399	21369
1388	18403	21345
1389	18408	21322
1390	18412	21298
1391	18417	21275
1392	18422	21252
1393	18426	21229
1394	18431	21206
1395	18436	21183
1396	18440	21159
1397	18444	21135
1398	18448	21112
1399	18453	21089
1400	18457	21066
1401	18462	21042
1402	18466	21019
1403	18470	20996
1404	18475	20973
1405	18480	20951
1406	18484	20927
1407	18488	20904
1408	18493	20881
1409	18497	20858
1410	18501	20835
1411	18507	20813
1412	18511	20791
1413	18516	20768
1414	18521	20746
1415	18526	20724
1416	18531	20702
1417	18535	20679
1418	18540	20656
1419	18544	20634
1420	18548	20611
1421	18553	20589
1422	18558	20566
1423	18562	20544
1424	18566	20521
1425	18571	20499
1426	18576	20477
1427	18581	20454
1428	18585	20432
1429	18589	20409
1430	18594	20387
1431	18598	20364
1432	18602	20342
1433	18607	20320
1434	18611	20297
1435	18616	20275
1436	18620	20253
1437	18625	20232
1438	18630	20210
1439	18635	20187
1440	18639	20165
1441	18643	20143
1442	18647	20120
1443	18652	20099
1444	18657	20077
1445	18661	20055
1446	18665	20033
1447	18670	20011
1448	18675	19989
1449	18679	19968
1450	18684	19946
1451	18688	19923
1452	18692	19902
1453	18697	19880
1454	18701	19857
1455	18705	19836
1456	18709	19814
1457	18714	19792
1458	18719	19772
1459	18725	19751
1460	18730	19730
1461	18735	19708
1462	18739	19687
1463	18743	19665
1464	18747	19643
1465	18752	19621
1466	18756	19600
1467	18761	19578
1468	18765	19557
1469	18769	19535
1470	18774	19514
1471	18779	19493
1472	18783	19472
1473	18787	19450
1474	18792	19429
1475	18796	19408
1476	18800	19386
1477	18805	19365
1478	18809	19343
1479	18814	19322
1480	18819	19301
1481	18824	19281
1482	18829	19260
1483	18833	19239
1484	18837	19218
1485	18841	19196
1486	18845	19175
1487	18850	19154
1488	18855	19133
1489	18859	19112
1490	18863	19091
1491	18868	19070
1492	18873	19050
1493	18877	19029
1494	18882	19008
1495	18886	18987
1496	18890	18966
1497	18895	18945
1498	18899	18924
1499	18903	18903
1500	18908	18882
1501	18912	18862
1502	18917	18841
1503	18921	18821
1504	18926	18801
1505	18931	18780
1506	18936	18760
1507	18940	18739
1508	18944	18718
1509	18949	18698
1510	18954	18678
1511	18958	18657
1512	18962	18636
1513	18967	18616
1514	18971	18596
1515	18976	18575
1516	18980	18555
1517	18984	18534
1518	18989	18514
1519	18993	18493
1520	18997	18472
1521	19001	18452
1522	19006	18432
1523	19010	18412
1524	19015	18391
1525	19020	18372
1526	19025	18352
1527	19029	18332
1528	19034	18312
1529	19038	18292
1530	19043	18272
1531	19048	18252
1532	19053	18232
1533	19057	18212
1534	19061	18192
1535	19066	18172
1536	19071	18152
1537	19075	18133
1538	19080	18113
1539	19085	18093
1540	19090	18074
1541	19094	18054
1542	19098	18034
1543	19103	18014
1544	19107	17994
1545	19112	17974
1546	19116	17955
1547	19121	17935
1548	19126	17916
1549	19130	17896
1550	19135	17877
1551	19139	17857
1552	19144	17837
1553	19148	17818
1554	19153	17798
1555	19158	17779
1556	19162	17759
1557	19167	17740
1558	19172	17721
1559	19176	17701
1560	19180	17681
1561	19185	17662
1562	19190	17643
1563	19194	17623
1564	19198	17603
1565	19203	17584
1566	19207	17565
1567	19211	17545
1568	19216	17526
1569	19221	17507
1570	19226	17488
1571	19230	17468
1572	19234	17449
1573	19239	17430
1574	19243	17410
1575	19248	17391
1576	19253	17373
1577	19257	17353
1578	19261	17334
1579	19266	17315
1580	19271	17297
1581	19276	17277
1582	19280	17258
1583	19285	17239
1584	19289	17220
1585	19293	17201
1586	19298	17182
1587	19302	17163
1588	19307	17144
1589	19311	17125
1590	19316	17107
1591	19321	17088
1592	19326	17069
1593	19330	17050
1594	19335	17032
1595	19339	17013
1596	19344	16994
1597	19349	16976
1598	19354	16957
1599	19358	16938
1600	19362	16919
1601	19367	16900
1602	19372	16882
1603	19376	16863
1604	19380	16844
1605	19385	16826
1606	19389	16807
1607	19393	16788
1608	19398	16770
1609	19402	16751
1610	19407	16732
1611	19411	16714
1612	19416	16696
1613	19421	16677
1614	19425	16659
1615	19429	16640
1616	19433	16621
1617	19438	16602
1618	19443	16584
1619	19447	16566
1620	19452	16548
1621	19456	16529
1622	19461	16511
1623	19465	16493
1624	19470	16475
1625	19475	16456
1626	19479	16438
1627	19485	16421
1628	19489	16402
1629	19493	16384
1630	19498	16366
1631	19503	16348
1632	19507	16330
1633	19512	16311
1634	19517	16294
1635	19522	16276
1636	19526	16258
1637	19530	16239
1638	19535	16221
1639	19539	16203
1640	19543	16185
1641	19548	16167
1642	19553	16149
1643	19557	16131
1644	19563	16114
1645	19568	16096
1646	19572	16078
1647	19576	16060
1648	19581	16042
1649	19585	16024
1650	19589	16006
1651	19594	15988
1652	19599	15971
1653	19603	15953
1654	19608	15935
